,Nearest Neighbors,Linear SVM,RBF SVM,Gaussian Process,Decision Tree,Random Forest,AdaBoost,Naive Bayes,XGBoost
0,0.712157752872748,0.7802197802197802,0.857317477779524,0.7909008774192503,0.7039419442464024,0.7810184002044467,0.7688904434633819,0.719000071112747,0.7810184002044467
1,0.7414800654237274,0.8208014208014206,0.8349217453309872,0.8564007421150279,0.6893261776982706,0.8028705987889659,0.7468800095075137,0.7106392106392107,0.8129113113751189
2,0.743250465758949,0.8122163550734979,0.8456607495069034,0.8134151632501467,0.729199372056515,0.8129113113751189,0.7582417582417582,0.729199372056515,0.80156382079459
3,0.712157752872748,0.776001776001776,0.8134151632501467,0.8113245010441272,0.7589431844750996,0.7785828868251905,0.7774147774147773,0.6001595179014534,0.7774147774147773
4,0.6684142593292496,0.729199372056515,0.7620682511024951,0.7496342666621305,0.6235909076028243,0.7496342666621305,0.73541842772612,0.7225360309472459,0.729199372056515
5,0.719000071112747,0.6370509357161193,0.6747066492829206,0.734291349675965,0.6597570623973263,0.786440054045688,0.6864024864024865,0.5998103129835771,0.7598861877901462
6,0.7414800654237274,0.8208014208014206,0.8349217453309872,0.8564007421150279,0.6893261776982706,0.8028705987889659,0.7468800095075137,0.7106392106392107,0.8129113113751189
7,0.690016041555267,0.8349217453309872,0.7918186231439243,0.8241758241758241,0.7248695755516451,0.8026320021441972,0.7564411755077098,0.734299464190229,0.7809673319877402
8,0.7312021312021311,0.7328977328977329,0.8122163550734979,0.7891273835199069,0.6710533369069955,0.8102286051261797,0.6985983728474616,0.7669302659956865,0.7328977328977329
9,0.719000071112747,0.7551562551562553,0.7785828868251905,0.8102286051261797,0.6790052053209948,0.7459397745112031,0.7587724470651298,0.7225360309472459,0.7655765122146924
