,Nearest Neighbors,Linear SVM,RBF SVM,Gaussian Process,Decision Tree,Random Forest,AdaBoost,Naive Bayes,XGBoost
0,0.6923076923076923,0.7912087912087912,0.8461538461538461,0.8021978021978022,0.6923076923076923,0.7802197802197802,0.7472527472527473,0.7362637362637363,0.8241758241758241
1,0.7362637362637363,0.8021978021978022,0.8241758241758241,0.8351648351648352,0.6593406593406593,0.8241758241758241,0.7802197802197802,0.6703296703296703,0.8461538461538461
2,0.7802197802197802,0.8241758241758241,0.8131868131868132,0.8241758241758241,0.7472527472527473,0.7692307692307693,0.7582417582417582,0.7362637362637363,0.8131868131868132
3,0.7692307692307693,0.8021978021978022,0.8681318681318682,0.8351648351648352,0.6923076923076923,0.7692307692307693,0.7472527472527473,0.6263736263736264,0.7912087912087912
4,0.6923076923076923,0.7252747252747253,0.7252747252747253,0.7252747252747253,0.7032967032967034,0.7362637362637363,0.6923076923076923,0.7142857142857143,0.7252747252747253
5,0.7582417582417582,0.6483516483516484,0.6923076923076923,0.7142857142857143,0.6703296703296703,0.7912087912087912,0.7362637362637363,0.6373626373626373,0.7802197802197802
6,0.7362637362637363,0.8021978021978022,0.8241758241758241,0.8351648351648352,0.6593406593406593,0.8351648351648352,0.7802197802197802,0.6703296703296703,0.8461538461538461
7,0.7252747252747253,0.8131868131868132,0.8131868131868132,0.8131868131868132,0.6813186813186813,0.7912087912087912,0.7472527472527473,0.7362637362637363,0.7362637362637363
8,0.7032967032967034,0.7472527472527473,0.7802197802197802,0.7912087912087912,0.7472527472527473,0.8241758241758241,0.7032967032967034,0.7802197802197802,0.8021978021978022
9,0.7802197802197802,0.7582417582417582,0.7912087912087912,0.7912087912087912,0.7692307692307693,0.7912087912087912,0.7252747252747253,0.7252747252747253,0.7582417582417582
